index,e,n,u
711,789.313128,-655.261527,0.0
712,789.707611,-655.568718,0.0
713,790.102094,-655.875910,0.0
714,790.496578,-656.183101,0.0
715,790.891061,-656.490293,0.0
716,791.285544,-656.797485,0.0
717,791.680027,-657.104676,0.0
718,792.074779,-657.411523,0.0
719,792.469531,-657.718370,0.0
720,792.864282,-658.025218,0.0
721,793.259034,-658.332065,0.0
722,793.653785,-658.638912,0.0
723,794.048537,-658.945759,0.0
724,794.445007,-659.250374,0.0
725,794.841478,-659.554990,0.0
726,795.237948,-659.859606,0.0
727,795.634685,-660.163872,0.0
728,796.031423,-660.468138,0.0
729,796.428160,-660.772405,0.0
730,796.824897,-661.076671,0.0
731,797.222047,-661.380399,0.0
732,797.619197,-661.684128,0.0
733,798.016346,-661.987856,0.0
734,798.413520,-662.291552,0.0
735,798.810694,-662.595248,0.0
736,799.207869,-662.898944,0.0
737,799.605044,-663.202638,0.0
738,800.002220,-663.506332,0.0
739,800.399395,-663.810027,0.0
740,800.796571,-664.113721,0.0
741,801.193747,-664.417415,0.0
742,801.590922,-664.721109,0.0
743,801.988080,-665.024827,0.0
744,802.385237,-665.328546,0.0
745,802.782394,-665.632265,0.0
746,803.179551,-665.935983,0.0
747,803.378880,-666.088416,0.0
748,803.378880,-666.088416,0.0
749,803.776104,-666.392045,0.0
750,804.173289,-666.695727,0.0
751,804.570474,-666.999409,0.0
752,804.967659,-667.303091,0.0
753,805.364837,-667.606782,0.0
754,805.762014,-667.910474,0.0
755,806.159192,-668.214166,0.0
756,806.556368,-668.517859,0.0
757,806.953544,-668.821553,0.0
758,807.350467,-669.125550,0.0
759,807.747389,-669.429548,0.0
760,808.144312,-669.733546,0.0
761,808.541234,-670.037543,0.0
762,808.938157,-670.341541,0.0
763,809.335079,-670.645539,0.0
764,809.730690,-670.951268,0.0
765,810.126300,-671.256997,0.0
766,810.521911,-671.562726,0.0
767,810.917521,-671.868454,0.0
768,811.313131,-672.174183,0.0
769,811.708719,-672.479942,0.0
770,812.104307,-672.785700,0.0
771,812.499895,-673.091458,0.0
772,812.895483,-673.397216,0.0
773,813.291071,-673.702975,0.0
774,813.686659,-674.008733,0.0
775,814.082247,-674.314492,0.0
776,814.477835,-674.620250,0.0
777,814.873422,-674.926009,0.0
778,815.269010,-675.231767,0.0
779,815.664598,-675.537526,0.0
780,816.060185,-675.843285,0.0
781,816.455773,-676.149043,0.0
782,816.851361,-676.454802,0.0
783,817.246949,-676.760561,0.0
784,817.642536,-677.066319,0.0
785,818.038124,-677.372078,0.0
786,818.433712,-677.677836,0.0
787,818.829299,-677.983595,0.0
788,819.224887,-678.289354,0.0
789,819.620475,-678.595112,0.0
790,820.016062,-678.900871,0.0
791,820.411650,-679.206629,0.0
792,820.807238,-679.512388,0.0
793,821.202826,-679.818147,0.0
794,821.598413,-680.123905,0.0
795,821.994001,-680.429664,0.0
796,822.389589,-680.735422,0.0
797,822.785177,-681.041180,0.0
798,823.180765,-681.346939,0.0
799,823.379548,-681.500582,0.0
800,823.379548,-681.500582,0.0
801,823.774507,-681.807167,0.0
802,824.169467,-682.113751,0.0
803,824.564426,-682.420335,0.0
804,824.959386,-682.726920,0.0
805,825.354345,-683.033504,0.0
806,825.749292,-683.340105,0.0
807,826.144238,-683.646706,0.0
808,826.539185,-683.953308,0.0
809,826.934132,-684.259909,0.0
810,827.329078,-684.566510,0.0
811,827.724025,-684.873111,0.0
812,828.118970,-685.179714,0.0
813,828.513916,-685.486317,0.0
814,828.908861,-685.792920,0.0
815,829.303807,-686.099522,0.0
816,829.698752,-686.406125,0.0
817,830.093698,-686.712728,0.0
